,,
METS,SPORT CATEGORY,DESCRIPTION
"8,5",BICYCLING,bicycling BMX or mountain
4,BICYCLING,bicycling for pleasure
6,BICYCLING,bicycling light effort
8,BICYCLING,bicycling moderate effort
10,BICYCLING,bicycling vigorous effor
12,BICYCLING,bicycling racing geners.
5,BICYCLING,unicycling
7,CONDITIONING EXERCISE,"bicycling, stationary, general"
"5,5",CONDITIONING EXERCISE,"bicycling, stationary light effort"
7,CONDITIONING EXERCISE,"bicycling, stationary, moderate effort"
"10,5",CONDITIONING EXERCISE,"bicycling, stationary, vigorous effort"
"3,5",CONDITIONING EXERCISE,"home exercise, light or moderate effort"
8,CONDITIONING EXERCISE,circuit training with minimal rest.
"5,5",CONDITIONING EXERCISE,"health club exercise, general"
9,CONDITIONING EXERCISE,"stair-treadmill ergometer, general"
7,CONDITIONING EXERCISE,"rowing, stationary ergometer, general"
"3,5",CONDITIONING EXERCISE,"rowing, stationary light effor"
7,CONDITIONING EXERCISE,"rowing, stationary moderate effor"
"8,5",CONDITIONING EXERCISE,"rowing, stationary vigorous effor"
7,CONDITIONING EXERCISE,"ski machine, general"
6,CONDITIONING EXERCISE,"slimnastics, jazercise"
2,CONDITIONING EXERCISE,"stretching, hatha yoga"
"2,5",CONDITIONING EXERCISE,mild stretching
6,CONDITIONING EXERCISE,teaching aerobic exercise class
4,CONDITIONING EXERCISE,"water aerobis, water calisthenics"
1,CONDITIONING EXERCISE,"whirpool, sitting"
"4,8",DANCING,"ballet or modern, twist, jazz, tap, jitterbug"
"6,5",DANCING,"aerobic, general"
"8,5",DANCING,"aerobic, step."
5,DANCING,"aerobic, low impact"
7,DANCING,"aerobic, high impact"
"4,5",DANCING,"Dance, general."
"5,5",DANCING,"ballroom, dancing fast"
"5,5",DANCING,Traditional american indian dancing
6,RUNNING,jog/walk combination
8,RUNNING,"jogging, in place"
"4,5",RUNNING,jogging on a mini-tramp
10,RUNNING,"running, light effort."
"13,5",RUNNING,"running, moderate effort."
16,RUNNING,"running, vigorous effort."
9,RUNNING,"running, cross country"
8,RUNNING,"running, general."
15,RUNNING,"running, stairs, up"
10,RUNNING,"running, on a track, team practice"
8,RUNNING,"running, training, pushing a wheelchair"
3,RUNNING,"running, wheeling, general"
"3,5",SPORTS,archery (non-hunting)
7,SPORTS,"badminton, competitive"
"4,5",SPORTS,"badminton, general"
8,SPORTS,"basketball, game"
6,SPORTS,"basketball, non-game, general"
7,SPORTS,"basketball, officiating"
"4,5",SPORTS,"basketball, shooting baskets"
"6,5",SPORTS,"basketball, wheelchair"
"2,5",SPORTS,billards
3,SPORTS,bowling
12,SPORTS,"boxing, in ring, general"
6,SPORTS,"boxing, punching bag"
9,SPORTS,"boxing, sparring"
7,SPORTS,broomball
5,SPORTS,"cricket (batting, bowling)"
"2,5",SPORTS,croquet
4,SPORTS,curling
"2,5",SPORTS,"darts, wall or lawn"
6,SPORTS,"drag racing, pushing or driving a car"
6,SPORTS,fencing
9,SPORTS,"football, competitive"
8,SPORTS,"football, touch, flag, general"
"2,5",SPORTS,"football or baseball, playing catch"
3,SPORTS,"frisbee playing, general"
8,SPORTS,"frisbee, ultimate"
